exampleSentence,partOfSpeech,sentimentTag,sentimentStrength,tokens
Kenapa jadi cmni?,adverbial phrase (contraction),neutral,0.0,"['kenapa', 'jadi', 'cmni', '?']"
"Ya, btl tu.",adjective/adverb (contraction of 'betul'),positive,0.6,"['ya', ',', 'btl', 'tu', '.']"
Saya menaiki train untuk pulang ke kampung.,noun,neutral,0.0,"['saya', 'menaiki', 'train', 'untuk', 'pulang', 'ke', 'kampung', '.']"
Makanan di restoran ini mostly sedap.,adverb,neutral,0.0,"['makanan', 'di', 'restoran', 'ini', 'mostly', 'sedap', '.']"
Dia mahu makan lgi.,adverb,neutral,0.0,"['dia', 'mahu', 'makan', 'lgi', '.']"
Kreta baharu itu sangat laju.,noun,neutral,0.0,"['kreta', 'baharu', 'itu', 'sangat', 'laju', '.']"
Kucing itu sangat comel.,adjective,positive,0.7,"['kucing', 'itu', 'sangat', 'comel', '.']"
Lututnya lecet selepas jatuh.,adjective,negative,-0.4,"['lututnya', 'lecet', 'selepas', 'jatuh', '.']"
Dia datang dari rumah.,preposition,neutral,0.0,"['dia', 'datang', 'dari', 'rumah', '.']"
Hujan lebat menyebabkan banjir.,verb,neutral,0.0,"['hujan', 'lebat', 'menyebabkan', 'banjir', '.']"
Kereta itu tlangar pokok.,verb,negative,-0.5,"['kereta', 'itu', 'tlangar', 'pokok', '.']"
Dia memotong kuku4nya setiap minggu.,noun,neutral,0.0,"['dia', 'memotong', 'kuku4nya', 'setiap', 'minggu', '.']"
Awak mesti datang esok.,modal verb,neutral,0.0,"['awak', 'mesti', 'datang', 'esok', '.']"
Rasanya dia tidak akan datang.,adverb,neutral,0.0,"['rasanya', 'dia', 'tidak', 'akan', 'datang', '.']"
Saya geram dengan tingkah lakunya.,adjective,negative,-0.6,"['saya', 'geram', 'dengan', 'tingkah', 'lakunya', '.']"
Bilangan pelajar dalam kelas itu ialah 24.,numeral,neutral,0.0,"['bilangan', 'pelajar', 'dalam', 'kelas', 'itu', 'ialah', '24', '.']"
Pergi la cepat!,particle,neutral,0.0,"['pergi', 'la', 'cepat', '!']"
Dia sedang membaca buku.,pronoun,neutral,0.0,"['dia', 'sedang', 'membaca', 'buku', '.']"
Cantik kan bunga ni?,particle,neutral,0.0,"['cantik', 'kan', 'bunga', 'ni', '?']"
Semua pelajar telah hadir.,quantifier,neutral,0.0,"['semua', 'pelajar', 'telah', 'hadir', '.']"
Tulah yang saya cakap.,demonstrative pronoun,neutral,0.0,"['tulah', 'yang', 'saya', 'cakap', '.']"
Dia akan datang nanti.,adverb,neutral,0.0,"['dia', 'akan', 'datang', 'nanti', '.']"
Ini buku saya punya.,"verb, auxiliary, possessive marker",neutral,0.0,"['ini', 'buku', 'saya', 'punya', '.']"
Biarlah dia mmpoih!,verb,negative,-0.8,"['biarlah', 'dia', 'mmpoih', '!']"
Dia terbunuh dalam kemalangan itu.,verb,negative,-0.9,"['dia', 'terbunuh', 'dalam', 'kemalangan', 'itu', '.']"
"Ye, betul tu!",interjection,neutral,0.0,"['ye', ',', 'betul', 'tu', '!']"
"Sekian, terima kasih.","adverb, interjection",neutral,0.0,"['sekian', ',', 'terima', 'kasih', '.']"
Undang2 negara ini sangat ketat.,noun,neutral,0.0,"['undang2', 'negara', 'ini', 'sangat', 'ketat', '.']"
Botol itu penuh dengan air.,adjective,neutral,0.0,"['botol', 'itu', 'penuh', 'dengan', 'air', '.']"
Kerajaan telah mengeluarkan polisi baharu.,noun,neutral,0.0,"['kerajaan', 'telah', 'mengeluarkan', 'polisi', 'baharu', '.']"
Dia membeli satu buku.,numeral,neutral,0.0,"['dia', 'membeli', 'satu', 'buku', '.']"
Saya bangga menjadi rakyat Malaysia.,adjective,positive,0.7,"['saya', 'bangga', 'menjadi', 'rakyat', 'malaysia', '.']"
Buku ini milik saya.,demonstrative pronoun,neutral,0.0,"['buku', 'ini', 'milik', 'saya', '.']"
Jangan sentuh meja itu.,prohibitive particle,neutral,0.0,"['jangan', 'sentuh', 'meja', 'itu', '.']"
Prompak itu telah ditangkap.,noun,negative,-0.8,"['prompak', 'itu', 'telah', 'ditangkap', '.']"
Makanan ini halal untuk dimakan.,adjective,positive,0.6,"['makanan', 'ini', 'halal', 'untuk', 'dimakan', '.']"
Mereka melakukan pelbagai aktiviti riadah.,noun,neutral,0.0,"['mereka', 'melakukan', 'pelbagai', 'aktiviti', 'riadah', '.']"
Barang tu dah lama.,demonstrative pronoun,neutral,0.0,"['barang', 'tu', 'dah', 'lama', '.']"
Perkara itu menyusahkan semua pihak.,verb,negative,-0.6,"['perkara', 'itu', 'menyusahkan', 'semua', 'pihak', '.']"
Saya hampir jatuh tadi 😅.,emoji,neutral,0.0,"['saya', 'hampir', 'jatuh', 'tadi', 'grinning', 'face', 'with', 'sweat', '.']"
Hamidi sedang bekerja.,proper noun,neutral,0.0,"['hamidi', 'sedang', 'bekerja', '.']"
Dia cuba tetak batang pokok itu.,verb,negative,-0.8,"['dia', 'cuba', 'tetak', 'batang', 'pokok', 'itu', '.']"
Dia berasa malu apabila ditegur.,adjective,negative,-0.5,"['dia', 'berasa', 'malu', 'apabila', 'ditegur', '.']"
Perompak itu telah ditangkap.,noun,negative,-0.8,"['perompak', 'itu', 'telah', 'ditangkap', '.']"
Perbuatan jahatnya mendapat padah.,noun,negative,-0.6,"['perbuatan', 'jahatnya', 'mendapat', 'padah', '.']"
Saya sayang awak ❤.,emoji,positive,0.9,"['saya', 'sayang', 'awak', 'red', 'heart', '.']"
Lawak gila 🤣🤣🤣.,emoji,positive,0.8,"['lawak', 'gila', 'rolling', 'on', 'the', 'floor', 'laughingrolling', 'on', 'the', 'floor', 'laughingrolling', 'on', 'the', 'floor', 'laughing', '.']"
Dia pandai macam ayah dia.,"preposition, adverb",neutral,0.0,"['dia', 'pandai', 'macam', 'ayah', 'dia', '.']"
Dia dibilang sakit.,verb,neutral,0.0,"['dia', 'dibilang', 'sakit', '.']"
Dia duduk di tepi sungai.,"noun, adverb",neutral,0.0,"['dia', 'duduk', 'di', 'tepi', 'sungai', '.']"
Awak masti datang esok.,"modal verb, adverb",neutral,0.0,"['awak', 'masti', 'datang', 'esok', '.']"
Penjahat itu sangat jahat.,adjective,negative,-0.7,"['penjahat', 'itu', 'sangat', 'jahat', '.']"
Tolong bunyikn loceng itu.,verb,neutral,0.0,"['tolong', 'bunyikn', 'loceng', 'itu', '.']"
Ambil ja satu.,"particle, adverb",neutral,0.0,"['ambil', 'ja', 'satu', '.']"
Saya pergi ke bank untuk mengeluarkan wang.,noun,neutral,0.0,"['saya', 'pergi', 'ke', 'bank', 'untuk', 'mengeluarkan', 'wang', '.']"
Dia memandu kenderaannya perlahan.,noun,neutral,0.0,"['dia', 'memandu', 'kenderaannya', 'perlahan', '.']"
Hadiah ini untuk awak.,preposition,neutral,0.0,"['hadiah', 'ini', 'untuk', 'awak', '.']"
You shld come. (Anda sepatutnya datang.),modal verb,neutral,0.0,"['you', 'shld', 'come', '.', '(', 'anda', 'sepatutnya', 'datang', '.', ')']"
"Janganlah trhegeh2, cepat sikit!","adjective, adverb",negative,-0.4,"['janganlah', 'trhegeh2', ',', 'cepat', 'sikit', '!']"
Mari kita kongsi makanan ini.,verb,neutral,0.0,"['mari', 'kita', 'kongsi', 'makanan', 'ini', '.']"
Akak saya pandai memasak lauk kegemaran keluarga.,noun,neutral,0.0,"['akak', 'saya', 'pandai', 'memasak', 'lauk', 'kegemaran', 'keluarga', '.']"
Bende tu mahal sangat sampai tak mampu beli.,noun,neutral,0.0,"['bende', 'tu', 'mahal', 'sangat', 'sampai', 'tak', 'mampu', 'beli', '.']"
Dia hanya ada duit..main untuk berjudi.,"noun, verb",neutral,0.0,"['dia', 'hanya', 'ada', 'duit', '.', 'main', 'untuk', 'berjudi', '.']"
"Klau awak setuju, kita boleh teruskan perancangan ini.",conjunction,neutral,0.0,"['klau', 'awak', 'setuju', ',', 'kita', 'boleh', 'teruskan', 'perancangan', 'ini', '.']"
Dia suka pakai baju baru setiap kali keluar rumah.,verb,neutral,0.0,"['dia', 'suka', 'pakai', 'baju', 'baru', 'setiap', 'kali', 'keluar', 'rumah', '.']"
Kucing-kucing itu datang sekor2 untuk makan makanan.,adverb,neutral,0.0,"['kucing', '-', 'kucing', 'itu', 'datang', 'sekor2', 'untuk', 'makan', 'makanan', '.']"
"Ajaa,,cuba buat yang terbaik, jangan putus asa.","adverb, verb",neutral,0.0,"['ajaa', ',', 'cuba', 'buat', 'yang', 'terbaik', ',', 'jangan', 'putus', 'asa', '.']"
"Tmpt ni cantik sangat, sesuai untuk bergambar.",noun,neutral,0.0,"['tmpt', 'ni', 'cantik', 'sangat', ',', 'sesuai', 'untuk', 'bergambar', '.']"
Makanan ini AGAK pedas untuk selera saya.,adverb,neutral,0.0,"['makanan', 'ini', 'agak', 'pedas', 'untuk', 'selera', 'saya', '.']"
"Kerja rumah SDH siap, saya boleh berehat sekarang.",adverb,neutral,0.0,"['kerja', 'rumah', 'sdh', 'siap', ',', 'saya', 'boleh', 'berehat', 'sekarang', '.']"
Saya Mohon maaf atas segala kesilapan yang telah berlaku.,verb,neutral,0.0,"['saya', 'mohon', 'maaf', 'atas', 'segala', 'kesilapan', 'yang', 'telah', 'berlaku', '.']"
Polis sedang memburu penyerang yang menceroboh rumah itu.,noun,negative,-0.6,"['polis', 'sedang', 'memburu', 'penyerang', 'yang', 'menceroboh', 'rumah', 'itu', '.']"
Polis menahan Saspek utama dalam kes rompakan bank.,noun,negative,-0.5,"['polis', 'menahan', 'saspek', 'utama', 'dalam', 'kes', 'rompakan', 'bank', '.']"
Dia mempunyai semangat yang kuat untuk mencapai kejayaan.,noun,positive,0.7,"['dia', 'mempunyai', 'semangat', 'yang', 'kuat', 'untuk', 'mencapai', 'kejayaan', '.']"
Rakaman. CCTV menunjukkan kejadian itu dengan jelas.,noun,neutral,0.0,"['rakaman', '.', 'cctv', 'menunjukkan', 'kejadian', 'itu', 'dengan', 'jelas', '.']"
Kita semua adalah satu bangsa Malaysia yang bersatu padu.,noun,neutral,0.0,"['kita', 'semua', 'adalah', 'satu', 'bangsa', 'malaysia', 'yang', 'bersatu', 'padu', '.']"
Dia pulak.. yang kena selesaikan masalah ini.,adverb,neutral,0.0,"['dia', 'pulak', '.', 'yang', 'kena', 'selesaikan', 'masalah', 'ini', '.']"
"Pembelian ini ada banyak syarat, yang perlu dipatuhi.",noun,neutral,0.0,"['pembelian', 'ini', 'ada', 'banyak', 'syarat', ',', 'yang', 'perlu', 'dipatuhi', '.']"
Surat itu dikirim semalam dan dijangka tiba hari ini.,verb,neutral,0.0,"['surat', 'itu', 'dikirim', 'semalam', 'dan', 'dijangka', 'tiba', 'hari', 'ini', '.']"
Semua pelajar hadir KECUALI dia yang sakit.,conjunction,neutral,0.0,"['semua', 'pelajar', 'hadir', 'kecuali', 'dia', 'yang', 'sakit', '.']"
Dia kaga datang ke majlis semalam.,adverb,neutral,0.0,"['dia', 'kaga', 'datang', 'ke', 'majlis', 'semalam', '.']"
"Punn...klau hujan, kita tetap akan pergi juga.","particle, conjunction",neutral,0.0,"['punn', '.', 'klau', 'hujan', ',', 'kita', 'tetap', 'akan', 'pergi', 'juga', '.']"
Dia cerdik .tapi malas sedikit.,conjunction,neutral,0.0,"['dia', 'cerdik', '.', 'tapi', 'malas', 'sedikit', '.']"
Dia bekerja secara sukarela tanpa mengharapkan balasan.,adverb,neutral,0.0,"['dia', 'bekerja', 'secara', 'sukarela', 'tanpa', 'mengharapkan', 'balasan', '.']"
Anak itu sedang bermain di taman dengan riang.,noun,neutral,0.0,"['anak', 'itu', 'sedang', 'bermain', 'di', 'taman', 'dengan', 'riang', '.']"
Tukang gunting itu Potong rambut saya dengan kemas.,verb,neutral,0.0,"['tukang', 'gunting', 'itu', 'potong', 'rambut', 'saya', 'dengan', 'kemas', '.']"
"Memang dia yang melakukannya, tiada keraguan lagi.",adverb,neutral,0.0,"['memang', 'dia', 'yang', 'melakukannya', ',', 'tiada', 'keraguan', 'lagi', '.']"
Dia spray cat pada dinding lama itu.,verb,neutral,0.0,"['dia', 'spray', 'cat', 'pada', 'dinding', 'lama', 'itu', '.']"
Kereta itu langgar... lampu isyarat merah.,verb,negative,-0.5,"['kereta', 'itu', 'langgar', '.', 'lampu', 'isyarat', 'merah', '.']"
Semoga anda sentiasa jaya dalam semua usaha anda.,noun,positive,0.8,"['semoga', 'anda', 'sentiasa', 'jaya', 'dalam', 'semua', 'usaha', 'anda', '.']"
Kakak.. saya bekerja sebagai seorang jurutera.,noun,neutral,0.0,"['kakak', '.', 'saya', 'bekerja', 'sebagai', 'seorang', 'jurutera', '.']"
Dia mencari Kunci keretanya yang hilang.,"noun, verb",neutral,0.0,"['dia', 'mencari', 'kunci', 'keretanya', 'yang', 'hilang', '.']"
Awak tau tak macam mana nak selesaikan masalah ni?,verb,neutral,0.0,"['awak', 'tau', 'tak', 'macam', 'mana', 'nak', 'selesaikan', 'masalah', 'ni', '?']"
Dia terdiam ... sebelum memberikan jawapan.,punctuation,neutral,0.0,"['dia', 'terdiam', '.', 'sebelum', 'memberikan', 'jawapan', '.']"
Dia tinggal di kampung ini dlu sebelum berpindah ke bandar.,adverb,neutral,0.0,"['dia', 'tinggal', 'di', 'kampung', 'ini', 'dlu', 'sebelum', 'berpindah', 'ke', 'bandar', '.']"
Kita harus ada (respect). terhadap orang tua dan guru.,noun,positive,0.7,"['kita', 'harus', 'ada', '(', 'respect', ')', '.', 'terhadap', 'orang', 'tua', 'dan', 'guru', '.']"
Rumahnya dekat dengan sekolah.,"adjective, preposition",neutral,0.0,"['rumahnya', 'dekat', 'dengan', 'sekolah', '.']"
Kasus jenayah itu masih dalam siasatan polis.,noun,neutral,0.0,"['kasus', 'jenayah', 'itu', 'masih', 'dalam', 'siasatan', 'polis', '.']"
"Apa khabar, brader.. dah lama tak jumpa.",noun,neutral,0.0,"['apa', 'khabar', ',', 'brader', '.', 'dah', 'lama', 'tak', 'jumpa', '.']"
Maling itu telah ditangkap polis selepas rompakan.,noun,negative,-0.8,"['maling', 'itu', 'telah', 'ditangkap', 'polis', 'selepas', 'rompakan', '.']"
Dia harus menjaga diri dan kesihatan dengan baik.,"noun, pronoun",neutral,0.0,"['dia', 'harus', 'menjaga', 'diri', 'dan', 'kesihatan', 'dengan', 'baik', '.']"
Kaki kucing itu pichang setelah dilanggar motosikal.,adjective,negative,-0.4,"['kaki', 'kucing', 'itu', 'pichang', 'setelah', 'dilanggar', 'motosikal', '.']"
Dia ingin pergi to pasar untuk membeli barang.,preposition,neutral,0.0,"['dia', 'ingin', 'pergi', 'to', 'pasar', 'untuk', 'membeli', 'barang', '.']"
Dia cakap pasal 'kefai' tapi saya tak faham maksudnya.,unidentified,neutral,0.0,"['dia', 'cakap', 'pasal', ""'"", 'kefai', ""'"", 'tapi', 'saya', 'tak', 'faham', 'maksudnya', '.']"
Cis! Berani betul dia menipu orang ramai.,interjection,negative,-0.6,"['cis', '!', 'berani', 'betul', 'dia', 'menipu', 'orang', 'ramai', '.']"
Menteri Kewangan akan membentangkan bajet di Parlimen.,noun,neutral,0.0,"['menteri', 'kewangan', 'akan', 'membentangkan', 'bajet', 'di', 'parlimen', '.']"
Sila pastikan pintu terkunci sebelum anda keluar.,verb,neutral,0.0,"['sila', 'pastikan', 'pintu', 'terkunci', 'sebelum', 'anda', 'keluar', '.']"
Dia baru sahaja membeli kereta model vios baharu.,noun,neutral,0.0,"['dia', 'baru', 'sahaja', 'membeli', 'kereta', 'model', 'vios', 'baharu', '.']"
"Dia xrespect langsung orang tua, sungguh biadap.",verb,negative,-0.8,"['dia', 'xrespect', 'langsung', 'orang', 'tua', ',', 'sungguh', 'biadap', '.']"
Pemandu itu HON kuat-kuat apabila terperangkap dalam kesesakan.,verb,neutral,0.0,"['pemandu', 'itu', 'hon', 'kuat', '-', 'kuat', 'apabila', 'terperangkap', 'dalam', 'kesesakan', '.']"
Lelaki itu sedang membaca buku di taman.,noun,neutral,0.0,"['lelaki', 'itu', 'sedang', 'membaca', 'buku', 'di', 'taman', '.']"
Saya Nk pergi ke kedai sekarang.,verb (colloquial),neutral,0.0,"['saya', 'nk', 'pergi', 'ke', 'kedai', 'sekarang', '.']"
Telefon saya sudah broken dan tidak boleh digunakan.,adjective,negative,-0.7,"['telefon', 'saya', 'sudah', 'broken', 'dan', 'tidak', 'boleh', 'digunakan', '.']"
Dia berasa puas hati dengan hasil kerjanya yang cemerlang.,adjective,positive,0.6,"['dia', 'berasa', 'puas', 'hati', 'dengan', 'hasil', 'kerjanya', 'yang', 'cemerlang', '.']"
Harga pakej itu termasuk tiket penerbangan dan penginapan.,verb,neutral,0.0,"['harga', 'pakej', 'itu', 'termasuk', 'tiket', 'penerbangan', 'dan', 'penginapan', '.']"
Kematian adalah lumrah kehidupan yang tidak dapat dielakkan.,noun/adjective,neutral,0.0,"['kematian', 'adalah', 'lumrah', 'kehidupan', 'yang', 'tidak', 'dapat', 'dielakkan', '.']"
Berikan salam kepada semua orang yang awak temui.,noun/interjection,positive,0.5,"['berikan', 'salam', 'kepada', 'semua', 'orang', 'yang', 'awak', 'temui', '.']"
Dia tidak peduli dengan apa yang orang lain katakan tentangnya.,verb/adjective,neutral,0.0,"['dia', 'tidak', 'peduli', 'dengan', 'apa', 'yang', 'orang', 'lain', 'katakan', 'tentangnya', '.']"
Dia cuba menarik attention semua orang di dalam bilik.,noun,neutral,0.0,"['dia', 'cuba', 'menarik', 'attention', 'semua', 'orang', 'di', 'dalam', 'bilik', '.']"
Pelajar itu mendapat Mark yang tinggi dalam peperiksaan.,noun/verb (English),neutral,0.0,"['pelajar', 'itu', 'mendapat', 'mark', 'yang', 'tinggi', 'dalam', 'peperiksaan', '.']"
Sila repeat arahan itu supaya semua orang faham.,verb,neutral,0.0,"['sila', 'repeat', 'arahan', 'itu', 'supaya', 'semua', 'orang', 'faham', '.']"
Ada banyak buku di perpustakaan awam.,adjective/quantifier,neutral,0.0,"['ada', 'banyak', 'buku', 'di', 'perpustakaan', 'awam', '.']"
Jangan buat bgtu lagi lain kali.,adverb (colloquial),neutral,0.0,"['jangan', 'buat', 'bgtu', 'lagi', 'lain', 'kali', '.']"
Dia suka ulang2 lagu yang sama setiap hari.,verb (reduplication),neutral,0.0,"['dia', 'suka', 'ulang2', 'lagu', 'yang', 'sama', 'setiap', 'hari', '.']"
Mamat itu kawan saya dari zaman sekolah.,noun (slang),neutral,0.0,"['mamat', 'itu', 'kawan', 'saya', 'dari', 'zaman', 'sekolah', '.']"
Pihak berkuasa akan perketatkan undang-undang sedia ada.,verb,neutral,0.0,"['pihak', 'berkuasa', 'akan', 'perketatkan', 'undang', '-', 'undang', 'sedia', 'ada', '.']"
Dia memandang dirinya di Cermin sebelum keluar.,noun,neutral,0.0,"['dia', 'memandang', 'dirinya', 'di', 'cermin', 'sebelum', 'keluar', '.']"
Dia berjalan kebekakang perlahan-lahan untuk mengelak.,adverb,neutral,0.0,"['dia', 'berjalan', 'kebekakang', 'perlahan', '-', 'lahan', 'untuk', 'mengelak', '.']"
Kanak-kanak itu bermain pasir di tepi pantai.,noun,neutral,0.0,"['kanak', '-', 'kanak', 'itu', 'bermain', 'pasir', 'di', 'tepi', 'pantai', '.']"
Akhirnya impiannya Jadi kenyataan selepas lama berusaha.,verb/conjunction,neutral,0.0,"['akhirnya', 'impiannya', 'jadi', 'kenyataan', 'selepas', 'lama', 'berusaha', '.']"
Restoran itu sangat recommended untuk hidangan makan malam.,adjective,positive,0.7,"['restoran', 'itu', 'sangat', 'recommended', 'untuk', 'hidangan', 'makan', 'malam', '.']"
Kedai barang kemas itu dirompak malam tadi oleh sekumpulan penjenayah.,verb (passive),negative,-0.8,"['kedai', 'barang', 'kemas', 'itu', 'dirompak', 'malam', 'tadi', 'oleh', 'sekumpulan', 'penjenayah', '.']"
Mereka baru berpindah ke Rumah baru di pinggir bandar.,noun,neutral,0.0,"['mereka', 'baru', 'berpindah', 'ke', 'rumah', 'baru', 'di', 'pinggir', 'bandar', '.']"
Dia tiba disaat2 akhir mesyuarat bermula.,noun (reduplication with prefix),neutral,0.0,"['dia', 'tiba', 'disaat2', 'akhir', 'mesyuarat', 'bermula', '.']"
Perompak itu bersenjata pistol ketika melakukan rompakan.,adjective/verb,negative,-0.5,"['perompak', 'itu', 'bersenjata', 'pistol', 'ketika', 'melakukan', 'rompakan', '.']"
Dia menutup tingkp biliknya kerana hujan lebat.,noun,neutral,0.0,"['dia', 'menutup', 'tingkp', 'biliknya', 'kerana', 'hujan', 'lebat', '.']"
"Dia suka semua jenis buah, terutama rambutan.",adverb/adjective,neutral,0.0,"['dia', 'suka', 'semua', 'jenis', 'buah', ',', 'terutama', 'rambutan', '.']"
Dia Sgt pandai dalam mata pelajaran matematik.,adverb (colloquial),neutral,0.0,"['dia', 'sgt', 'pandai', 'dalam', 'mata', 'pelajaran', 'matematik', '.']"
Dia kelihatan Macam ibunya sewaktu muda dahulu.,adverb/noun,neutral,0.0,"['dia', 'kelihatan', 'macam', 'ibunya', 'sewaktu', 'muda', 'dahulu', '.']"
Awak mesti datang ke majlis itu esok pagi.,adverb/modal verb,neutral,0.0,"['awak', 'mesti', 'datang', 'ke', 'majlis', 'itu', 'esok', 'pagi', '.']"
Kita mesti hormat orang tua dan guru-guru kita.,noun/verb,positive,0.7,"['kita', 'mesti', 'hormat', 'orang', 'tua', 'dan', 'guru', '-', 'guru', 'kita', '.']"
Sikapnya yang baik mencerminkan didikan ibu bapanya.,verb,neutral,0.0,"['sikapnya', 'yang', 'baik', 'mencerminkan', 'didikan', 'ibu', 'bapanya', '.']"
Dia berlari dengan cepat untuk mengejar bas.,adjective/adverb,neutral,0.0,"['dia', 'berlari', 'dengan', 'cepat', 'untuk', 'mengejar', 'bas', '.']"
"Kok tak datang lagi, dah lama tunggu ni?",particle/interjection (colloquial),neutral,0.0,"['kok', 'tak', 'datang', 'lagi', ',', 'dah', 'lama', 'tunggu', 'ni', '?']"
Perbuatan itu sungguh kejam dan tidak berperikemanusiaan.,adjective,negative,-0.9,"['perbuatan', 'itu', 'sungguh', 'kejam', 'dan', 'tidak', 'berperikemanusiaan', '.']"
"Bayi itu menangis, 'Huaaaa!' apabila ibunya pergi.",interjection/onomatopoeia,negative,-0.5,"['bayi', 'itu', 'menangis', ',', ""'"", 'huaaaa', '!', ""'"", 'apabila', 'ibunya', 'pergi', '.']"
Dia menjadi .mansa penipuan internet itu.,noun,negative,-0.7,"['dia', 'menjadi', '.', 'mansa', 'penipuan', 'internet', 'itu', '.']"
"Cepatlh datang, kami dah lama tunggu!",particle (colloquial),neutral,0.0,"['cepatlh', 'datang', ',', 'kami', 'dah', 'lama', 'tunggu', '!']"
Dia ada byk duit dalam akaun banknya.,adjective/quantifier (colloquial),neutral,0.0,"['dia', 'ada', 'byk', 'duit', 'dalam', 'akaun', 'banknya', '.']"
"Semoga anda selamat,carilah tempat berlindung segera.",adjective,positive,0.8,"['semoga', 'anda', 'selamat', ',', 'carilah', 'tempat', 'berlindung', 'segera', '.']"
Dia terlepas bas ke sekolah pagi tadi.,verb,negative,-0.4,"['dia', 'terlepas', 'bas', 'ke', 'sekolah', 'pagi', 'tadi', '.']"
Dia memerlukan lebih banyak duit untuk membeli rumah.,noun,neutral,0.0,"['dia', 'memerlukan', 'lebih', 'banyak', 'duit', 'untuk', 'membeli', 'rumah', '.']"
Dia sudah Sampai di rumah ibunya.,verb/preposition,neutral,0.0,"['dia', 'sudah', 'sampai', 'di', 'rumah', 'ibunya', '.']"
Kenapa awak lambat datang ke majlis?,interrogative pronoun,neutral,0.0,"['kenapa', 'awak', 'lambat', 'datang', 'ke', 'majlis', '?']"
Dia mmbunyikn loceng pintu rumah.,verb (colloquial/typo),neutral,0.0,"['dia', 'mmbunyikn', 'loceng', 'pintu', 'rumah', '.']"
Ini bukunya yang tertinggal di atas meja.,pronoun/suffix,neutral,0.0,"['ini', 'bukunya', 'yang', 'tertinggal', 'di', 'atas', 'meja', '.']"
Dia didakwa? atas kesalahan rasuah.,verb (passive),negative,-0.6,"['dia', 'didakwa', '?', 'atas', 'kesalahan', 'rasuah', '.']"
Betul Ka apa yang dia cakap semalam?,particle/preposition (colloquial),neutral,0.0,"['betul', 'ka', 'apa', 'yang', 'dia', 'cakap', 'semalam', '?']"
Polis menemui beberapa butir peluru di tempat kejadian.,noun,neutral,0.0,"['polis', 'menemui', 'beberapa', 'butir', 'peluru', 'di', 'tempat', 'kejadian', '.']"
Dia menyodok sampah ke dalam tong.,verb,neutral,0.0,"['dia', 'menyodok', 'sampah', 'ke', 'dalam', 'tong', '.']"
Buku ni saya punya.,demonstrative_pronoun,neutral,0.0,"['buku', 'ni', 'saya', 'punya', '.']"
"Kalau hujan, kita tak jadi keluar.",conjunction,neutral,0.0,"['kalau', 'hujan', ',', 'kita', 'tak', 'jadi', 'keluar', '.']"
Jangan bising di sini.,prohibitory_particle,neutral,0.0,"['jangan', 'bising', 'di', 'sini', '.']"
Janganlah berkelakuan bodoh.,adjective,negative,-0.8,"['janganlah', 'berkelakuan', 'bodoh', '.']"
Tolong bg saya buku itu.,verb,neutral,0.0,"['tolong', 'bg', 'saya', 'buku', 'itu', '.']"
Mereka mengadakan protes terhadap kenaikan harga barang.,noun,negative,-0.6,"['mereka', 'mengadakan', 'protes', 'terhadap', 'kenaikan', 'harga', 'barang', '.']"
Kami ada respek yang tinggi kepada guru itu.,noun,positive,0.7,"['kami', 'ada', 'respek', 'yang', 'tinggi', 'kepada', 'guru', 'itu', '.']"
Buku itu ada pd saya.,preposition,neutral,0.0,"['buku', 'itu', 'ada', 'pd', 'saya', '.']"
Dia gerak perlahan-lahan.,verb,neutral,0.0,"['dia', 'gerak', 'perlahan', '-', 'lahan', '.']"
Ada banyak hal lain-lain yang perlu diselesaikan.,adjective,neutral,0.0,"['ada', 'banyak', 'hal', 'lain', '-', 'lain', 'yang', 'perlu', 'diselesaikan', '.']"
Dia sering datang melawat kami.,adverb,neutral,0.0,"['dia', 'sering', 'datang', 'melawat', 'kami', '.']"
Dia bagi hadiah kepada adiknya.,verb,neutral,0.0,"['dia', 'bagi', 'hadiah', 'kepada', 'adiknya', '.']"
Dia habiskan semua makanan itu.,verb,neutral,0.0,"['dia', 'habiskan', 'semua', 'makanan', 'itu', '.']"
Buku ini untuk kamu.,preposition,neutral,0.0,"['buku', 'ini', 'untuk', 'kamu', '.']"
Dia dituduh membunuh jirannya.,verb,negative,-0.9,"['dia', 'dituduh', 'membunuh', 'jirannya', '.']"
Dia seorang pemain bola sepak yang handal.,adjective,positive,0.8,"['dia', 'seorang', 'pemain', 'bola', 'sepak', 'yang', 'handal', '.']"
Dia cuba melawan musuhnya.,verb,neutral,0.0,"['dia', 'cuba', 'melawan', 'musuhnya', '.']"
Saya datang dua kali seminggu.,noun,neutral,0.0,"['saya', 'datang', 'dua', 'kali', 'seminggu', '.']"
Dia berjalan dengan lenggang kangkung.,verb,neutral,0.0,"['dia', 'berjalan', 'dengan', 'lenggang', 'kangkung', '.']"
Kucing itu died semalam. (Kucing itu mati semalam.),verb,negative,-0.7,"['kucing', 'itu', 'died', 'semalam', '.', '(', 'kucing', 'itu', 'mati', 'semalam', '.', ')']"
Saya harap awak berjaya.,verb,positive,0.6,"['saya', 'harap', 'awak', 'berjaya', '.']"
Dia msuk ke dalam rumah.,verb,neutral,0.0,"['dia', 'msuk', 'ke', 'dalam', 'rumah', '.']"
Tolong kasi saya duit.,verb,neutral,0.0,"['tolong', 'kasi', 'saya', 'duit', '.']"
Rumah tuu cantik.,demonstrative_pronoun,neutral,0.0,"['rumah', 'tuu', 'cantik', '.']"
