tokens,partOfSpeech,sentimentTag,sentimentStrength,overallSentenceTag,overallSentenceStrength
"['ibu', 'memberi', 'adik', 'hadiah', 'hari', 'lahir', '.']","['unknown', 'verb', 'unknown', 'unknown', 'noun', 'unknown', 'unknown']","['unknown', 'neutral', 'unknown', 'unknown', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['jawapan', 'yang', 'diberikannya', 'salah', '.']","['unknown', 'pronoun, conjunction', 'unknown', 'adjective', 'unknown']","['unknown', 'neutral', 'unknown', 'negative', 'unknown']","[0.0, 0.0, 0.0, -0.7, 0.0]",negative,-0.7
"['dia', 'seorang', 'pelajar', 'yang', 'sangat', 'pandai', '.']","['pronoun', 'unknown', 'unknown', 'pronoun, conjunction', 'adverb', 'adjective', 'unknown']","['neutral', 'unknown', 'unknown', 'neutral', 'neutral', 'positive', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.7, 0.0]",positive,0.8
"['saya', 'tidak', 'pernah', 'ke', 'sana', '.']","['pronoun', 'adverb', 'adverb', 'particle (interrogative)', 'unknown', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['keta', 'dia', 'rosak', 'di', 'tepi', 'jalan', '.']","['noun', 'pronoun', 'adjective', 'preposition', 'noun, adverb', 'noun/verb', 'unknown']","['neutral', 'neutral', 'negative', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, -0.8, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'tidak', 'datang', 'kerana', 'hujan', 'lebat', '.']","['pronoun', 'adverb', 'verb', 'conjunction', 'unknown', 'unknown', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'unknown', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['cincin', 'itu', 'seberat', 'lima', 'gram', '.']","['unknown', 'demonstrative pronoun', 'adjective', 'unknown', 'unknown', 'unknown']","['unknown', 'neutral', 'neutral', 'unknown', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['bangunan', 'lama', 'itu', 'akan', 'dirobohkan', '.']","['unknown', 'adjective', 'demonstrative pronoun', 'auxiliary verb', 'unknown', 'unknown']","['unknown', 'neutral', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'menyimpan', 'rusia', 'itu', 'dengan', 'baik', '.']","['pronoun', 'unknown', 'noun', 'demonstrative pronoun', 'preposition', 'adjective', 'unknown']","['neutral', 'unknown', 'neutral', 'neutral', 'neutral', 'positive', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.8, 0.0]",neutral,0.0
"['merokok', 'sudah', 'menjadi', 'kebiasaan', 'baginya', '.']","['unknown', 'adverb', 'unknown', 'noun', 'unknown', 'unknown']","['unknown', 'neutral', 'unknown', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['kemudahan', 'awam', 'perlu', 'mesra', 'oku', '.']","['unknown', 'kata sifat', 'verb/adjective', 'unknown', 'noun', 'unknown']","['unknown', 'neutral', 'neutral', 'unknown', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['tentera', 'itu', 'diarahkan', 'undur', 'dari', 'medan', 'perang', '.']","['unknown', 'demonstrative pronoun', 'unknown', 'verb', 'preposition', 'unknown', 'unknown', 'unknown']","['unknown', 'neutral', 'unknown', 'neutral', 'neutral', 'unknown', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['""', 'teruskan', 'perjalanan', '!', '""', 'kata', 'pemandu', 'bas', '.']","['unknown', 'verb', 'unknown', 'unknown', 'unknown', 'unknown', 'noun', 'unknown', 'unknown']","['unknown', 'neutral', 'unknown', 'unknown', 'unknown', 'unknown', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['janganlah', 'baitu', 'sombong', '.']","['unknown', 'adverb', 'unknown', 'unknown']","['unknown', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'sangat', 'manjo', 'dengan', 'ibunya', '.']","['pronoun', 'adverb', 'adjective', 'preposition', 'unknown', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'duduk', 'di', 'belakang', 'saya', '.']","['pronoun', 'verb', 'preposition', 'noun / adverb', 'pronoun', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['kereta', 'itu', 'dilanggar', 'lori', '.']","['kata nama', 'demonstrative pronoun', 'verb', 'noun', 'unknown']","['neutral', 'neutral', 'negative', 'neutral', 'unknown']","[0.0, 0.0, -0.6, 0.0, 0.0]",negative,-0.6
"['ahhh', ',', 'akhirnya', 'sampai', 'juga', '!']","['interjection', 'punctuation', 'unknown', 'verb', 'adverb', 'unknown']","['neutral', 'neutral', 'unknown', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'nampak', 'sangat', 'letih', '.']","['pronoun', 'verb', 'adverb', 'unknown', 'unknown']","['neutral', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['kita', 'perlu', 'berusaha', 'untuk', 'mencapai', 'kejayaan', '.']","['pronoun', 'verb/adjective', 'verb', 'preposition', 'unknown', 'unknown', 'unknown']","['neutral', 'neutral', 'positive', 'neutral', 'unknown', 'unknown', 'unknown']","[0.0, 0.0, 0.7, 0.0, 0.0, 0.0, 0.0]",positive,0.7
"['kekadang', 'dia', 'datang', 'melawat', '.']","['adverb', 'pronoun', 'verb', 'unknown', 'unknown']","['neutral', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['kwsan', 'itu', 'bahaya', 'untuk', 'dilalui', '.']","['noun', 'demonstrative pronoun', 'noun', 'preposition', 'unknown', 'unknown']","['neutral', 'neutral', 'negative', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, -0.8, 0.0, 0.0, 0.0]",neutral,0.0
"['jenaka', 'itu', 'sangat', 'lucu', ',', 'sampai', 'saya', 'face', 'with', 'tears', 'of', 'joy', '.']","['unknown', 'demonstrative pronoun', 'adverb', 'adjective', 'punctuation', 'verb', 'pronoun', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown']","['unknown', 'neutral', 'neutral', 'positive', 'neutral', 'neutral', 'neutral', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",positive,0.9
"['semoga', 'kita', 'berjaya', '.']","['adverb', 'pronoun', 'unknown', 'unknown']","['positive', 'neutral', 'unknown', 'unknown']","[0.5, 0.0, 0.0, 0.0]",positive,0.5
"['restoran', 'itu', 'menyajikan', 'food', 'yang', 'sedap', '.']","['unknown', 'demonstrative pronoun', 'unknown', 'noun', 'pronoun, conjunction', 'adjective', 'unknown']","['unknown', 'neutral', 'unknown', 'neutral', 'neutral', 'positive', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.8, 0.0]",neutral,0.0
"['penjenayah', 'itu', '.menyamun', 'bank', 'semalam', '.']","['noun', 'demonstrative pronoun', 'unknown', 'noun', 'unknown', 'unknown']","['negative', 'neutral', 'unknown', 'neutral', 'unknown', 'unknown']","[-0.8, 0.0, 0.0, 0.0, 0.0, 0.0]",negative,-0.9
"['mereka', 'memancing', 'di', 'kuala', 'sungai', '.']","['pronoun', 'unknown', 'preposition', 'noun', 'unknown', 'unknown']","['neutral', 'unknown', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['boleh', 'bagi', 'saya', 'air', 'skit', '?']","['modal verb', 'verb', 'pronoun', 'unknown', 'unknown', 'punctuation']","['neutral', 'neutral', 'neutral', 'unknown', 'unknown', 'neutral']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'minta', 'tambah', 'nasi', '.']","['pronoun', 'unknown', 'verb', 'unknown', 'unknown']","['neutral', 'unknown', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['kita', 'perlu', 'creat', 'idea', 'baharu', '.']","['pronoun', 'verb/adjective', 'verb', 'unknown', 'unknown', 'unknown']","['neutral', 'neutral', 'neutral', 'unknown', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'suka', 'ajar', 'budak', '-', 'budak', '.']","['pronoun', 'verb', 'verb', 'unknown', 'punctuation', 'unknown', 'unknown']","['neutral', 'positive', 'neutral', 'unknown', 'neutral', 'unknown', 'unknown']","[0.0, 0.7, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['ini', 'buku', 'saya', '.']","['demonstrative pronoun', 'unknown', 'pronoun', 'unknown']","['neutral', 'unknown', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['saya', 'nak', 'bt', 'kerja', 'sekarang', '.']","['pronoun', 'auxiliary verb', 'verb', 'verb', 'adverb', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'terima', 'hadiah', 'itu', 'dengan', 'gembira', '.']","['pronoun', 'verb', 'unknown', 'demonstrative pronoun', 'preposition', 'unknown', 'unknown']","['neutral', 'neutral', 'unknown', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['keretanya', 'baru', 'sahaja', 'dibaiki', '.']","['noun', 'adjective, adverb', 'unknown', 'unknown', 'unknown']","['neutral', 'neutral', 'unknown', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'menguruskan', 'segala', 'persiapan', 'majlis', '.']","['pronoun', 'unknown', 'determiner', 'unknown', 'unknown', 'unknown']","['neutral', 'unknown', 'neutral', 'unknown', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'bawak', 'beg', 'besar', '.']","['pronoun', 'verb', 'unknown', 'adjective', 'unknown']","['neutral', 'neutral', 'unknown', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'fasih', 'berbahasa', 'melayu', '.']","['pronoun', 'unknown', 'unknown', 'noun/adjective', 'unknown']","['neutral', 'unknown', 'unknown', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'tidak', 'ada', 'uang', '.']","['pronoun', 'adverb', 'verb', 'noun', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['cuman', 'itu', 'yang', 'dia', 'tahu', '.']","['adverb', 'demonstrative pronoun', 'pronoun, conjunction', 'pronoun', 'verb', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['ibu', 'suruh', 'saya', 'belajar', '.']","['unknown', 'verb', 'pronoun', 'unknown', 'unknown']","['unknown', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['jawapan', 'awak', 'betul', '.']","['unknown', 'unknown', 'adjective', 'unknown']","['unknown', 'unknown', 'positive', 'unknown']","[0.0, 0.0, 0.6, 0.0]",positive,0.6
"['dia', 'menjadi', 'mangsa', 'penipuan', '.']","['pronoun', 'unknown', 'noun', 'unknown', 'unknown']","['neutral', 'unknown', 'negative', 'unknown', 'unknown']","[0.0, 0.0, -0.7, 0.0, 0.0]",negative,-0.7
"['selagi', 'ada', 'hayat', ',', 'teruskan', 'berjuang', '.']","['conjunction', 'verb', 'unknown', 'punctuation', 'verb', 'unknown', 'unknown']","['neutral', 'neutral', 'unknown', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'tidak', 'dapat', 'menyembunyikan', 'perasaannya', '.']","['pronoun', 'adverb', 'verb', 'unknown', 'unknown', 'unknown']","['neutral', 'neutral', 'positive', 'unknown', 'unknown', 'unknown']","[0.0, 0.0, 0.5, 0.0, 0.0, 0.0]",neutral,0.0
"['saya', 'and', 'awak', 'pergi', 'bersama', '.']","['pronoun', 'conjunction', 'unknown', 'verb', 'unknown', 'unknown']","['neutral', 'neutral', 'unknown', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'mengikat', 'tali', 'kasutnya', '.']","['pronoun', 'unknown', 'noun', 'unknown', 'unknown']","['neutral', 'unknown', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['ini', 'adalah', 'zaman', 'moden', '.']","['demonstrative pronoun', 'copula / verb', 'noun', 'unknown', 'unknown']","['neutral', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['bateri', 'telefon', 'saya', 'dah', 'low', '.']","['unknown', 'noun / verb', 'pronoun', 'adverb', 'adjective', 'unknown']","['unknown', 'neutral', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['buku', 'tu', 'mahal', 'sangat', '.']","['unknown', 'pronoun', 'adjective', 'adverb', 'unknown']","['unknown', 'neutral', 'negative', 'neutral', 'unknown']","[0.0, 0.0, -0.5, 0.0, 0.0]",neutral,0.0
"['dia', 'berasa', 'enraged', 'face', 'apabila', 'mendengar', 'berita', 'buruk', 'itu', '.']","['pronoun', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'noun', 'unknown', 'demonstrative pronoun', 'unknown']","['neutral', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'neutral', 'unknown', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",negative,-0.8
"['hatinya', 'sad', 'but', 'relieved', 'face', 'apabila', 'terpaksa', 'berpisah', '.']","['unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'verb', 'unknown', 'unknown']","['unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'negative', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.5, 0.0, 0.0]",negative,-0.6
"['ya', ',', 'saya', 'setuju', '.']","['interjection/adverb', 'punctuation', 'pronoun', 'unknown', 'unknown']","['neutral', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['kereta', 'adalah', 'sejenis', 'kenderaan', 'darat', '.']","['kata nama', 'copula / verb', 'unknown', 'noun', 'unknown', 'unknown']","['neutral', 'neutral', 'unknown', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['mmg', 'dia', 'cakap', 'macam', 'tu', '.']","['kata keterangan', 'pronoun', 'unknown', 'preposition, adverb', 'pronoun', 'unknown']","['neutral', 'neutral', 'unknown', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['tentera', 'itu', 'bersedia', 'untuk', 'menyerang', 'kubu', 'musuh', '.']","['unknown', 'demonstrative pronoun', 'unknown', 'preposition', 'verb', 'unknown', 'unknown', 'unknown']","['unknown', 'neutral', 'unknown', 'neutral', 'negative', 'unknown', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, -0.7, 0.0, 0.0, 0.0]",negative,-0.7
"['baju', 'baru', 'dia', 'law', '.']","['unknown', 'adjective, adverb', 'pronoun', 'adjective', 'unknown']","['unknown', 'neutral', 'neutral', 'positive', 'unknown']","[0.0, 0.0, 0.0, 0.6, 0.0]",positive,0.6
"['silahkan', 'duduk', '.']","['verb', 'verb', 'unknown']","['neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0]",neutral,0.0
"['penyamun', 'itu', 'didakwa', 'kerana', 'menyamun', 'kedai', 'emas', '.']","['noun', 'demonstrative pronoun', 'unknown', 'conjunction', 'verb', 'noun', 'noun', 'unknown']","['negative', 'neutral', 'unknown', 'neutral', 'negative', 'neutral', 'positive', 'unknown']","[-0.9, 0.0, 0.0, 0.0, -0.9, 0.0, 0.4, 0.0]",negative,-0.9
"['adakah', 'anda', 'faham', '?']","['interrogative particle', 'pronoun', 'verb / adjective', 'punctuation']","['neutral', 'neutral', 'neutral', 'neutral']","[0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'cakap', 'cm', 'tu', '.']","['pronoun', 'unknown', 'conjunction', 'pronoun', 'unknown']","['neutral', 'unknown', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['ekonomi', 'negara', 'itu', 'dilihat', 'mudur', '(', 'mundur', ')', 'sejak', 'beberapa', 'tahun', 'lalu', '.']","['unknown', 'noun', 'demonstrative pronoun', 'unknown', 'verb', 'unknown', 'verb/adjective', 'unknown', 'unknown', 'determiner', 'noun', 'verb / adverb / conjunction', 'unknown']","['unknown', 'neutral', 'neutral', 'unknown', 'negative', 'unknown', 'negative', 'unknown', 'unknown', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, -0.4, 0.0, -0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",negative,-0.4
"['persembahan', 'kumpulan', 'itu', 'mntp', 'sekali', '!']","['unknown', 'unknown', 'demonstrative pronoun', 'adjective', 'adverb', 'unknown']","['unknown', 'unknown', 'neutral', 'positive', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.7, 0.0, 0.0]",positive,0.7
"['jangan', 'buang', 'sampah', 'merata', '-', 'rata', '.']","['particle', 'unknown', 'unknown', 'unknown', 'punctuation', 'unknown', 'unknown']","['neutral', 'unknown', 'unknown', 'unknown', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",negative,-0.6
"['rumahnya', 'jauh', 'dari', 'bandar', '.']","['unknown', 'adjective', 'preposition', 'unknown', 'unknown']","['unknown', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['hati', '-', 'hati', 'menggunakan', 'kata', 'baabi', ',', 'ia', 'sangat', 'kesat', '.']","['noun', 'punctuation', 'noun', 'unknown', 'unknown', 'noun', 'punctuation', 'unknown', 'adverb', 'unknown', 'unknown']","['neutral', 'neutral', 'neutral', 'unknown', 'unknown', 'negative', 'neutral', 'unknown', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, -0.9, 0.0, 0.0, 0.0, 0.0, 0.0]",negative,-0.9
"['dia', 'hanya', 'hantar', 'emoji', 'ini', 'sebagai', 'balasan', '.']","['pronoun', 'adverb', 'verb', 'unknown', 'demonstrative pronoun', 'preposition', 'unknown', 'unknown']","['neutral', 'neutral', 'neutral', 'unknown', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",negative,-0.9
"['kotak', 'itu', 'sangat', 'berat', '.']","['unknown', 'demonstrative pronoun', 'adverb', 'adjective', 'unknown']","['unknown', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['kalaau', 'awak', 'setuju', ',', 'kita', 'boleh', 'teruskan', '.']","['conjunction', 'unknown', 'unknown', 'punctuation', 'pronoun', 'modal verb', 'verb', 'unknown']","['neutral', 'unknown', 'unknown', 'neutral', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['kerja', 'awak', 'baguih', 'sekali', '!']","['verb', 'unknown', 'adjective', 'adverb', 'unknown']","['neutral', 'unknown', 'positive', 'neutral', 'unknown']","[0.0, 0.0, 0.6, 0.0, 0.0]",positive,0.6
"['dia', 'terus', 'berjalan', 'tanpa', 'menoleh', '.']","['pronoun', 'adverb/verb', 'unknown', 'unknown', 'unknown', 'unknown']","['neutral', 'neutral', 'unknown', 'unknown', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'gantung', 'gambar', 'di', 'dinding', '.']","['pronoun', 'verb', 'unknown', 'preposition', 'unknown', 'unknown']","['neutral', 'neutral', 'unknown', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['buku', 'ni', 'kepunyaan', 'saya', '.']","['unknown', 'pronoun', 'unknown', 'pronoun', 'unknown']","['unknown', 'neutral', 'unknown', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'memandu', 'kereta', 'toyota', 'vios', '.']","['pronoun', 'unknown', 'kata nama', 'unknown', 'noun (proper)', 'unknown']","['neutral', 'unknown', 'neutral', 'unknown', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'dh', 'makan', '.']","['pronoun', 'auxiliary verb', 'verb', 'unknown']","['neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'lgs', 'tak', 'datang', '.']","['pronoun', 'adverb', 'adverb (negation)', 'verb', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['hakim', 'itu', 'tidak', 'boleh', 'memihak', 'kepada', 'mana', '-', 'mana', 'pihak', '.']","['unknown', 'demonstrative pronoun', 'adverb', 'modal verb', 'verb', 'preposition', 'interrogative pronoun', 'punctuation', 'interrogative pronoun', 'noun', 'unknown']","['unknown', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'akan', 'pergi', 'esok', '.']","['pronoun', 'auxiliary verb', 'verb', 'unknown', 'unknown']","['neutral', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['jangan', 'memasal', 'nanti', 'kita', 'lambat', '.']","['particle', 'verb', 'adverb', 'pronoun', 'unknown', 'unknown']","['neutral', 'negative', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, -0.3, 0.0, 0.0, 0.0, 0.0]",negative,-0.3
"['pemandu', 'bas', 'itu', 'sangat', 'cekap', '.']","['noun', 'unknown', 'demonstrative pronoun', 'adverb', 'unknown', 'unknown']","['neutral', 'unknown', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['kita', 'harus', 'cinta', 'akan', 'negara', '.']","['pronoun', 'auxiliary verb', 'unknown', 'auxiliary verb', 'noun', 'unknown']","['neutral', 'neutral', 'unknown', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['penjahatnya', 'telah', 'ditangkap', 'polis', '.']","['noun', 'unknown', 'unknown', 'noun', 'unknown']","['negative', 'unknown', 'unknown', 'neutral', 'unknown']","[-0.8, 0.0, 0.0, 0.0, 0.0]",negative,-0.8
"['hai', 'sist', ',', 'apa', 'khabar', '?']","['unknown', 'unknown', 'punctuation', 'pronoun', 'unknown', 'punctuation']","['unknown', 'unknown', 'neutral', 'neutral', 'unknown', 'neutral']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['kereta', 'itu', 'menabrak', 'tiang', 'lampu', '.']","['kata nama', 'demonstrative pronoun', 'verb', 'unknown', 'unknown', 'unknown']","['neutral', 'neutral', 'negative', 'unknown', 'unknown', 'unknown']","[0.0, 0.0, -0.6, 0.0, 0.0, 0.0]",negative,-0.6
"['polis', 'sedang', 'memburu', 'peropak', '(', 'perompak', ')', 'itu', '.']","['noun', 'unknown', 'unknown', 'noun', 'unknown', 'noun', 'unknown', 'demonstrative pronoun', 'unknown']","['neutral', 'unknown', 'unknown', 'negative', 'unknown', 'negative', 'unknown', 'neutral', 'unknown']","[0.0, 0.0, 0.0, -0.9, 0.0, -0.9, 0.0, 0.0, 0.0]",negative,-0.9
"['xpayah', 'tunggu', 'saya', '.']","['auxiliary verb', 'verb', 'pronoun', 'unknown']","['neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'balas', 'dengan', 'emoji', 'smiling', 'face', 'with', 'sunglassesok', 'hand', '.']","['pronoun', 'unknown', 'preposition', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown']","['neutral', 'unknown', 'neutral', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",positive,0.8
"['saya', 'suka', 'makanan', 'yang', 'ada', 'banyak', 'pepper', '.']","['pronoun', 'verb', 'noun', 'pronoun, conjunction', 'verb', 'adjective/quantifier', 'noun', 'unknown']","['neutral', 'positive', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['i', 'tak', 'faham', '.']","['pronoun', 'adverb (negation)', 'verb / adjective', 'unknown']","['neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'takut', 'akan', 'kegelapan', '.']","['pronoun', 'adjective', 'auxiliary verb', 'unknown', 'unknown']","['neutral', 'negative', 'neutral', 'unknown', 'unknown']","[0.0, -0.6, 0.0, 0.0, 0.0]",negative,-0.6
"['saya', 'pun', 'nak', 'ikut', 'jugak', '.']","['pronoun', 'particle / adverb', 'auxiliary verb', 'unknown', 'adverb', 'unknown']","['neutral', 'neutral', 'neutral', 'unknown', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['kita', 'perlu', 'terus', 'hdup', '.']","['pronoun', 'verb/adjective', 'adverb/verb', 'unknown', 'unknown']","['neutral', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
